promotion_name,start_date,end_date,discount_rate,expected_demand_lift,categories_included
New Year Sale,2024-01-01,2024-01-15,0.3,1.69,"Accessories,Peripherals,Components"
Spring Sale,2024-03-15,2024-03-31,0.2,1.33,"Peripherals,Smartphones,Tablets,Components"
Summer Clearance,2024-07-01,2024-07-31,0.25,1.51,"Tablets,Laptops,Wearables"
Back to School,2024-08-15,2024-09-05,0.35,1.56,"Tablets,Peripherals,Components"
Black Friday,2024-11-25,2024-11-30,0.5,1.8,"Peripherals,Laptops,Wearables"
Cyber Monday,2024-11-28,2024-12-02,0.45,1.56,"Accessories,Peripherals,Wearables"
Holiday Sale,2024-12-15,2024-12-31,0.4,1.76,"Tablets,Peripherals,Smartphones"
New Year Sale,2025-01-01,2025-01-15,0.3,1.81,"Wearables,Laptops"
Spring Sale,2025-03-15,2025-03-31,0.2,1.96,"Tablets,Components"
Summer Clearance,2025-07-01,2025-07-31,0.25,1.55,"Wearables,Tablets,Smartphones,Accessories"
Back to School,2025-08-15,2025-09-05,0.35,1.57,"Peripherals,Smartphones"
Black Friday,2025-11-25,2025-11-30,0.5,1.33,"Smartphones,Components,Wearables"
Cyber Monday,2025-11-28,2025-12-02,0.45,1.93,"Tablets,Smartphones,Peripherals"
Holiday Sale,2025-12-15,2025-12-31,0.4,1.73,"Components,Accessories,Laptops"
